REPORT_DATE,CIK,REGISTRANT_NAME,SECURITY_KEY,ISSUER_NAME,BALANCE,PREV_BALANCE,POSITION_CHANGE,POSITION_CHANGE_PCT
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988019,Nibe Industrier AB,21125.0,1100.0,20025.0,1820.4545454545453
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988019,Nibe Industrier AB,63819.0,21125.0,42694.0,202.101775147929
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988019,Nibe Industrier AB,102005.0,63819.0,38186.0,59.83484542220968
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988167,SwedenCare AB,49493.0,225622.0,-176129.0,-78.06375264823467
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988373,Sedana Medical AB,3466.0,286146.0,-282680.0,-98.78873022862454
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988373,Sedana Medical AB,56467.0,3466.0,53001.0,1529.1690709751877
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016074249,Mildef Group AB,24192.0,1688.0,22504.0,1333.175355450237
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016074249,Mildef Group AB,2949.0,24192.0,-21243.0,-87.81001984126983
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016101844,Sinch AB,31459.0,731718.0,-700259.0,-95.70066610360823
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016101844,Sinch AB,5338.0,31459.0,-26121.0,-83.03188276804731
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016589188,Electrolux AB,10208.0,578097.0,-567889.0,-98.23420637021123
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016589188,Electrolux AB,75516.0,10208.0,65308.0,639.7727272727273
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016787071,Truecaller AB,10466.0,436545.0,-426079.0,-97.60253811176398
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016787071,Truecaller AB,124768.0,10466.0,114302.0,1092.1268870628703
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016797732,Storskogen Group AB,69146.0,703986.0,-634840.0,-90.17792967473784
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016797732,Storskogen Group AB,716667.0,69146.0,647521.0,936.4547479246811
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0016829709,Synsam AB,37842.0,4164.0,33678.0,808.7896253602306
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017105620,Dynavox Group AB,46913.0,4234.0,42679.0,1008.0066131317902
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017134125,Vestum AB,99007.0,11386.0,87621.0,769.5503249604778
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017160773,NCAB Group AB,141293.0,8728.0,132565.0,1518.8473877176903
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017483506,Instalco AB,9668.0,406617.0,-396949.0,-97.6223325635672
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017483506,Instalco AB,160483.0,9668.0,150815.0,1559.9400082747206
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,66907.0,2941422.0,-2874515.0,-97.72535188762443
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,7913.0,66907.0,-58994.0,-88.17313584527777
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,128434.0,7913.0,120521.0,1523.0759509667635
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,114379.0,128434.0,-14055.0,-10.943363906753662
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,4002.0,114379.0,-110377.0,-96.50110597225016
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486889,Atlas Copco AB,192078.0,4002.0,188076.0,4699.550224887556
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,1873379.0,38385.0,1834994.0,4780.497590204507
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,108629.0,1873379.0,-1764750.0,-94.20144028517454
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,4592.0,108629.0,-104037.0,-95.77276786125252
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,70196.0,4592.0,65604.0,1428.658536585366
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,368229.0,70196.0,298033.0,424.57262522081027
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0017486897,Atlas Copco AB,106296.0,368229.0,-261933.0,-71.13318071091629
