date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2004-02-19,58.071256,81800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4750228740.8,-21271630.919999998,8317815.540000007,-0.43773549248195776,0.16724205771332598
2004-02-20,57.800689,81800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4728096360.2,-21271630.919999998,2718346.440000007,-0.43773549248195776,0.04981313311505651
2004-02-23,56.835725,77600000.0,,-4200000.0,-238710045.0,,-5.412371134020619,0.0,,,,,,,4410452260.0,-69013639.92,-9217155.809999993,-1.5202097192860815,-0.22080542358597444
2004-02-24,57.001219,76600000.0,,-1000000.0,-57001219.0,,-1.3054830287206267,0.0,,,,,,,4366293375.4,-70933544.2,-12067216.759999994,-1.5880696100543614,-0.28607957502200576
2004-02-25,57.719671,79000000.0,,2400000.0,138527210.4,,3.037974683544304,0.0,,,,,,,4559854009.0,-31436810.71999999,-5140856.239999993,-0.7359758958393883,-0.13418084084479057
2004-02-26,58.206627,79000000.0,,0.0,0.0,,0.0,0.0,,,,,,,4598323533.0,-31436810.72,676178.8600000069,-0.7359758958393883,-0.0074381285507474585
2004-02-27,58.375135,81000000.0,,2000000.0,116750270.0,,2.4691358024691357,0.0,,,,,,,4728385935.0,-8086756.719999999,6513692.360000007,-0.24214873534556114,0.11601866157270932
2004-03-01,59.290227,83000000.0,,2000000.0,118580454.0,,2.4096385542168677,0.0,,,,,,,4921088841.0,63371343.08,13889249.960000008,1.3222532023019362,0.2683883443855935
2004-03-02,58.921836,84800000.0,,1800000.0,106059304.8,,2.1226415094339623,0.0,,,,,,,4996571692.8,95983447.84,19192215.200000007,2.007878109932854,0.3745204198572917
2004-03-03,58.951091,80400000.0,,-4400000.0,-259384800.4,,-5.472636815920398,0.0,,,,,,,4739667716.4,16401045.679999996,6222975.180000007,0.3057558100399135,0.10088857906127169
2004-03-04,59.655416,79400000.0,,-1000000.0,-59655416.0,,-1.2594458438287153,0.0,,,,,,,4736640030.400001,4469962.480000001,2116216.2600000068,0.0538666412741704,0.01253557620993746
2004-03-05,59.77197,79400000.0,,0.0,0.0,,0.0,0.0,,,,,,,4745894418.0,-18880091.52,2116216.2600000068,-0.43996051921965673,0.012535576209937454
2004-03-08,59.072514,79400000.0,,0.0,0.0,,0.0,0.0,,,,,,,4690357611.599999,-42596182.32,2116216.2600000068,-0.9218882300630302,0.012535576209937454
2004-03-09,58.420261,80600000.0,,1200000.0,70104313.2,,1.488833746898263,0.0,,,,,,,4708673036.6,-49787180.64,2704440.020000007,-1.0486497825701702,0.02432062195084058
2004-03-10,57.333717,79700000.0,,-900000.0,-51600345.3,,-1.1292346298619824,0.0,,,,,,,4569497244.9,-8230289.619999999,-6373845.394999993,-0.17996934535848683,-0.1662874510056732
2004-03-11,56.722101,81700000.0,,2000000.0,113444202.0,,2.4479804161566707,0.0,,,,,,,4634195651.7,26389633.98,-5462211.2949999925,0.5615159066385903,-0.13958221010214583
2004-03-12,58.129948,77900000.0,,-3800000.0,-220893802.4,,-4.878048780487805,0.0,,,,,,,4528322949.2,-17789126.5,-16506901.414999992,-0.41409384945897043,-0.3834846491265361
2004-03-15,56.549809,75900000.0,,-2000000.0,-113099618.0,,-2.635046113306983,0.0,,,,,,,4292130503.1000004,-40409050.1,-22161882.31499999,-0.9411030721203669,-0.5152369547918852
2004-03-16,56.519138,75900000.0,,0.0,0.0,,0.0,0.0,,,,,,,4289802574.2,-54429912.739999995,-19791797.43499999,-1.2388698215000198,-0.4669277760479239
2004-03-17,57.711494,70400000.0,,-5500000.0,-317413217.0,,-7.8125,0.0,,,,,,,4062889177.6,-107592487.08,-32714635.43499999,-2.575522895527623,-0.7964280816713958
2004-03-18,57.311716,70400000.0,,0.0,0.0,,0.0,0.0,,,,,,,4034744806.3999996,-130281327.47999999,-32714635.43499999,-3.0651189787589574,-0.7964280816713958
2004-03-19,56.932,74800000.0,,4400000.0,250500800.0,,5.88235294117647,0.0,,,,,,,4258513600.0,-36002407.0,-20189595.43499999,-0.9130386344261023,-0.5023104346125724
2004-03-22,55.759563,74800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4170815312.4,-13382483.399999995,-8254093.184999992,-0.3860294117647059,-0.2316918779115414
2004-03-23,55.953366,73900000.0,,-900000.0,-50358029.400000006,,-1.2178619756427607,0.0,,,,,,,4134953747.4,-23454089.279999994,-7921933.704999993,-0.6296018068932581,-0.22731082525764806
2004-03-24,55.627568,73700000.0,,-200000.0,-11125513.6,,-0.27137042062415195,0.0,,,,,,,4099751761.6,37803451.400000006,-15404569.904999996,0.8786241089819116,-0.3927780804660709
2004-03-25,57.01378,74100000.0,,400000.0,22805512.0,,0.5398110661268556,0.0,,,,,,,4224721098.0,42364553.800000004,-14264294.304999996,0.9865863222072827,-0.36578752715972807
