date,shares_outstanding,nav,fund_aum,class_aum,shares_change,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2025-11-21,2368383.0,165.6159,639042025.44,392241882.08970004,18929.0,3134943.3711,0.007992372855234985,1.4467125145044142,811393.8418199989,69097.158125
2025-11-24,2375758.0,167.1429,644934024.34,397091081.8182,7375.0,1232678.8875,0.0031042724048493155,0.6393452784207475,1057929.619319999,101601.7575
2025-11-25,2378648.0,168.95,651906845.04,401872579.59999996,2890.0,488265.49999999994,0.00121497590227726,0.32806969635150296,1089322.8393199989,297522.17866
2025-11-26,2380276.0,171.2757,660880702.23,407683438.0932,1628.0,278836.8396,0.0006839542977369011,0.24419461663512126,1145090.207239999,432866.96274000005
2025-11-27,2408001.0,171.331,663663744.57,412565219.331,27725.0,4750151.975,0.011513699537500192,1.970784905917605,1976975.314639999,719406.9841699998
2025-11-28,2417509.0,171.4876,665642324.91,414572816.38839996,9508.0,1630504.1008,0.003932973982723539,0.7415573175737037,1676087.4605799988,725676.4392099999
2025-12-01,2457397.0,171.6736,672887836.75,421870189.6192,39888.0,6847716.556799999,0.01623180951226033,2.616459065885999,2799094.994439999,1108356.688815
2025-12-02,2466897.0,172.562,678009244.18,425692680.114,9500.0,1639339.0,0.003850991751986402,0.6762213955656531,3029309.694439999,1140136.6988149998
2025-12-03,2466897.0,173.7407,682640369.68,428600411.6079,0.0,0.0,0.0,0.07583209775147665,2973542.3265199987,1221312.20009
2025-12-04,2470897.0,175.4306,699362837.3,433470943.2482,4000.0,701722.4,0.0016188453019288138,0.3131410411170351,2163856.4115199987,1221813.1595899998
2025-12-05,2470897.0,174.8225,698213178.13,431968390.78249997,0.0,0.0,0.0,0.024117470454849042,1837755.5913599986,1221813.1595899998
2025-12-08,2470897.0,175.065,699181746.71,432567583.305,0.0,0.0,0.0,0.024117470454849042,468212.27999999886,1221813.1595899998
2025-12-09,2489493.0,172.7514,695285204.41,430063401.0402,18596.0,3212485.0344,0.007469794050435168,1.277313852255469,782841.4868799988,1444414.09071
2025-12-10,2526924.0,173.0328,706058275.43,437240735.1072,37431.0,6476790.7368,0.014812871301234227,2.43528381605967,2078199.6342399989,1778306.03015
2025-12-11,2528549.0,174.2805,712437100.66,440676783.9945,1625.0,283205.8125,0.0006426610676716172,0.09780587311966296,1994496.3167399988,1719703.644225
2025-12-12,2527674.0,173.9815,711215092.49,439768514.031,-875.0,-152233.8125,-0.00034616805806444973,-0.06476333042898819,1964049.5542399988,1572321.612
