date,sector,flow_dollar,flow_pct_aum,flow_zscore,flow_5d_sum,flow_20d_sum,positive_days_5d,negative_days_5d,positive_days_20d,negative_days_20d,persistence_5d,persistence_20d,n_obs_5d,n_obs_20d,price_ret_5d,price_ret_20d,price_flow_regime,price_flow_regime_5d,price_flow_regime_20d
2026-09-16,XLV,-150960073.5,-0.3476711317578327,-0.6849077711412391,-144342855.04999998,-295365880.85,1,4,9,11,0.2,0.45,5,20,0.0190148124281663,-0.0391051650933645,Confirmación de debilidad,Divergencia bajista,Confirmación de debilidad
2026-09-16,XLE,60844078.1,0.1454159394611963,0.4241234356386034,-45527783.35000002,-264825236.79999992,2,3,8,12,0.4,0.4,5,20,-0.0069304935488552,0.0141554183699208,Divergencia bajista,Confirmación de debilidad,Divergencia bajista
2026-09-16,XLY,611302069.3499999,2.846058930650372,5.0,375836822.1499999,-400996274.8499999,1,3,4,14,0.25,0.2222222222222222,5,20,-0.005091101281576,-0.060713358382504,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-16,XLP,-100021459.2,-0.7068311332078107,-1.0726779612296635,-326974926.0,-260694215.35,2,3,9,9,0.4,0.5,5,20,0.0048140756229217,-0.0352438527789589,Confirmación de debilidad,Divergencia bajista,Confirmación de debilidad
2026-09-16,XLI,109617451.45,0.3598595989275011,0.5487254917288673,-186220733.85,-1002392074.4,2,3,8,12,0.4,0.4,5,20,-0.0090296600255967,-0.0711184537424707,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-16,XLB,35262195.5,0.4282722027258812,0.5213550121895831,-56597133.85,-143253672.35,3,2,8,11,0.6,0.4210526315789473,5,20,-0.0009850125830153,-0.0344630875383675,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-16,XLU,-2066225.05,-0.0095997238488013,5.0652299666405374e-05,70433954.55,157678079.05,2,2,10,7,0.5,0.5882352941176471,5,20,-0.0195202686293277,-0.0529305271882102,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-16,XLRE,-12834844.5,-0.1631321374566693,-0.5442311031815366,-135583209.6,-213323407.95,0,4,5,12,0.0,0.2941176470588235,5,20,-0.0025551826318469,-0.0455657473944702,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-16,XLC,-39542729.1,-0.1745200705364406,-0.3588310169668323,-252695587.5,-291452147.7,1,4,7,12,0.2,0.3684210526315789,5,20,0.0076233047006375,0.0092525941620602,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-17,XLK,-103435845.15,-0.0848226399450176,-0.7659833582487764,-281839261.1,-692248988.8499999,2,3,9,11,0.4,0.45,5,20,0.0102840515447379,0.0354997257418179,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-17,XLF,-622947433.75,-1.1618874643170989,-1.6684438652850453,205074290.4000001,-1159204653.35,4,1,12,8,0.8,0.6,5,20,-0.02427946532137,-0.0191395985598864,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-17,XLV,-50641721.1,-0.1160248387905606,-0.1203103271239293,-161854742.15,-460163226.6500001,1,4,8,12,0.2,0.4,5,20,0.0183236500248731,-0.0232032021240333,Confirmación de debilidad,Divergencia bajista,Confirmación de debilidad
2026-09-17,XLE,-309425270.40000004,-0.7401714509850745,-1.390892829164022,-527016729.6,-504342734.0999999,1,4,8,12,0.2,0.4,5,20,-0.0127418151493963,0.0087842754289215,Divergencia bajista,Confirmación de debilidad,Divergencia bajista
2026-09-17,XLY,66838858.2,0.3067382663426328,0.7322275509960808,588209494.7499999,-221532887.45,2,2,5,13,0.5,0.2777777777777778,5,20,-0.0170856968910959,-0.0484230503179753,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-17,XLP,-96016878.7,-0.6819995655984523,-0.9194760550727354,-298329246.7,-356711094.05,2,3,9,10,0.4,0.4736842105263157,5,20,-0.0069560352694348,-0.0295358257393345,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
