ACCESSION_NUMBER,CIK,REGISTRANT_NAME,SERIES_NAME,SERIES_ID,TOTAL_ASSETS,NET_ASSETS,REPORT_DATE,MONTH_LABEL,MONTH_DATE,SALES_FLOW,REINVESTMENT_FLOW,REDEMPTION_FLOW,NET_FUND_FLOW,NET_FUND_FLOW_PCT
0001410368-26-055360,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) ETF,S000006411,47852468576.5,47790943099.0,2026-03-31,MON1,2026-01-31,7657399547.65,0.0,4120204021.45,3537195526.2,7.401393018908668
0001410368-26-055360,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) ETF,S000006411,47852468576.5,47790943099.0,2026-03-31,MON2,2026-02-28,4233707712.6,0.0,7829669360.75,-3595961648.15,-7.524357995406966
0001410368-26-055360,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) ETF,S000006411,47852468576.5,47790943099.0,2026-03-31,MON3,2026-03-31,8208010606.9,0.0,8128019432.8,79991174.09999943,0.16737726630398556
0001410368-26-055324,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) ETF,S000006416,24449895394.9,24418901907.66,2026-03-31,MON1,2026-01-31,922375597.3,0.0,783014372.8,139361224.5,0.5707104481069379
0001410368-26-055324,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) ETF,S000006416,24449895394.9,24418901907.66,2026-03-31,MON2,2026-02-28,915719778.75,0.0,1026930661.9,-111210883.14999998,-0.45542950117308134
0001410368-26-055324,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Utilities Select Sector SPDR(R) ETF,S000006416,24449895394.9,24418901907.66,2026-03-31,MON3,2026-03-31,1975422916.85,0.0,931407043.85,1044015872.9999999,4.27544152864835
0001410368-26-055332,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) ETF,S000006409,15531586885.28,15480581181.4,2026-03-31,MON1,2026-01-31,4614012919.8,0.0,4263519233.9,350493685.9000001,2.26408609465593
0001410368-26-055332,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) ETF,S000006409,15531586885.28,15480581181.4,2026-03-31,MON2,2026-02-28,3025887954.8,0.0,2879104115.25,146783839.5500002,0.9481804192620479
0001410368-26-055332,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) ETF,S000006409,15531586885.28,15480581181.4,2026-03-31,MON3,2026-03-31,3362569830.3,0.0,3870115018.55,-507545188.25,-3.278592594829826
0001410368-26-055357,884394,State Street(R) SPDR(R) S&P 500(R) ETF Trust,,,653587391058.59,651588269947.59,2026-03-31,MON1,2026-01-31,70186858179.8,0.0,83459621316.0,-13272763136.199997,-2.0369861994703466
0001410368-26-055357,884394,State Street(R) SPDR(R) S&P 500(R) ETF Trust,,,653587391058.59,651588269947.59,2026-03-31,MON2,2026-02-28,84857982759.0,0.0,90130610232.0,-5272627473.0,-0.809196192777396
0001410368-26-055357,884394,State Street(R) SPDR(R) S&P 500(R) ETF Trust,,,653587391058.59,651588269947.59,2026-03-31,MON3,2026-03-31,131174928521.7,0.0,142021995840.05,-10847067318.34999,-1.6647118769069411
0001410368-26-055330,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) ETF,S000006413,28338106674.72,28334837604.44,2026-03-31,MON1,2026-01-31,2367851815.25,0.0,1669538829.95,698312985.3,2.464503220553401
0001410368-26-055330,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) ETF,S000006413,28338106674.72,28334837604.44,2026-03-31,MON2,2026-02-28,3422181231.55,0.0,1793146581.15,1629034650.4,5.7492288226304655
0001410368-26-055330,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Industrial Select Sector SPDR(R) ETF,S000006413,28338106674.72,28334837604.44,2026-03-31,MON3,2026-03-31,2447991439.3,0.0,3085019165.3,-637027726.0,-2.2482137885984543
0001410368-26-055460,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) Premium Income ETF,S000093841,2553834.07,2517475.49,2026-03-31,MON1,2026-01-31,0.0,0.0,0.0,0.0,0.0
0001410368-26-055460,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) Premium Income ETF,S000093841,2553834.07,2517475.49,2026-03-31,MON2,2026-02-28,472488.14,0.0,0.0,472488.14,18.768331285719885
0001410368-26-055460,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Real Estate Select Sector SPDR(R) Premium Income ETF,S000093841,2553834.07,2517475.49,2026-03-31,MON3,2026-03-31,1160372.2,0.0,455223.0,705149.2,28.010171411837653
0001410368-26-055478,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) Premium Income ETF,S000093837,3661584.16,3595766.8,2026-03-31,MON1,2026-01-31,1475938.02,0.0,250049.57,1225888.45,34.09254599046857
0001410368-26-055478,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) Premium Income ETF,S000093837,3661584.16,3595766.8,2026-03-31,MON2,2026-02-28,0.0,0.0,474457.5,-474457.5,-13.194890725394096
0001410368-26-055478,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Financial Select Sector SPDR(R) Premium Income ETF,S000093837,3661584.16,3595766.8,2026-03-31,MON3,2026-03-31,1360016.3,0.0,223764.51,1136251.79,31.599707467124954
0001410368-26-055513,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) Premium Income ETF,S000093840,5579339.03,5446761.0,2026-03-31,MON1,2026-01-31,733170.71,0.0,239233.13,493937.57999999996,9.068464358909816
0001410368-26-055513,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) Premium Income ETF,S000093840,5579339.03,5446761.0,2026-03-31,MON2,2026-02-28,2731231.15,0.0,0.0,2731231.15,50.14413428457757
0001410368-26-055513,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Materials Select Sector SPDR(R) Premium Income ETF,S000093840,5579339.03,5446761.0,2026-03-31,MON3,2026-03-31,235580.95,0.0,0.0,235580.95,4.32515673076164
0001410368-26-055548,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) Premium Income ETF,S000093835,2622171.08,2589381.51,2026-03-31,MON1,2026-01-31,730075.0,0.0,0.0,730075.0,28.194956872152844
0001410368-26-055548,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) Premium Income ETF,S000093835,2622171.08,2589381.51,2026-03-31,MON2,2026-02-28,249441.04,0.0,504050.73,-254609.68999999997,-9.832838035519918
0001410368-26-055548,1064641,SELECT SECTOR SPDR TRUST,State Street(R) Consumer Staples Select Sector SPDR(R) Premium Income ETF,S000093835,2622171.08,2589381.51,2026-03-31,MON3,2026-03-31,1665419.18,0.0,932236.16,733183.0199999999,28.314986307290035
