date,nav
2018-02-02,164.564633
2018-02-05,158.130014
2018-02-06,162.301233
2018-02-07,160.266217
2018-02-08,153.550163
2018-02-09,156.210599
2018-02-12,158.917344
2018-02-13,159.647021
2018-02-14,162.696182
2018-02-15,165.617889
2018-02-16,165.023695
2018-02-19,165.023695
2018-02-20,165.246749
2018-02-21,164.755453
2018-02-22,164.822794
2018-02-23,168.099787
2018-02-26,170.3504
2018-02-27,168.20738
2018-02-28,167.09522
2018-03-01,164.566038
2018-03-02,166.035655
2018-03-05,167.744406
2018-03-06,168.517669
2018-03-07,168.915906
2018-03-08,169.843586
2018-03-09,173.120607
2018-03-12,173.848462
2018-03-13,171.795321
2018-03-14,171.660057
2018-03-15,171.431273
2018-03-16,171.161998
2018-03-19,167.110082
2018-03-20,167.625047
2018-03-21,166.849172
2018-03-22,162.681237
2018-03-23,158.439252
2018-03-26,164.419911
2018-03-27,158.966946
2018-03-28,157.301937
2018-03-29,160.227056
2018-03-30,160.227056
2018-04-02,155.594471
2018-04-03,157.267401
2018-04-04,159.764437
2018-04-05,160.610061
2018-04-06,156.673412
2018-04-09,157.627126
2018-04-10,161.119816
2018-04-11,160.329597
2018-04-12,162.100986
2018-04-13,161.418901
2018-04-16,162.558025
2018-04-17,165.993716
2018-04-18,166.402766
2018-04-19,164.982182
2018-04-20,162.371687
2018-04-23,161.909618
2018-04-24,158.509311
2018-04-25,158.627527
2018-04-26,161.929074
2018-04-27,162.092632
2018-04-30,160.857302
2018-05-01,162.715768
2018-05-02,161.802557
2018-05-03,161.777906
2018-05-04,164.876244
2018-05-07,166.160502
2018-05-08,166.008353
2018-05-09,167.909531
2018-05-10,169.625964
2018-05-11,169.434909
2018-05-14,169.728004
2018-05-15,167.881164
2018-05-16,168.981916
2018-05-17,168.319193
2018-05-18,167.457095
2018-05-21,168.415981
2018-05-22,168.125121
2018-05-23,169.592194
2018-05-24,169.495548
2018-05-25,169.764939
2018-05-28,169.764939
2018-05-29,168.946891
2018-05-30,170.165386
2018-05-31,169.954571
2018-06-01,172.78005
2018-06-04,174.230881
2018-06-05,174.798023
2018-06-06,175.851717
2018-06-07,174.480734
2018-06-08,174.472753
2018-06-11,174.859628
2018-06-12,175.849419
2018-06-13,175.752871
2018-06-14,177.577233
2018-06-15,176.994128
2018-06-18,176.528905
2018-06-19,175.958697
2018-06-20,177.23961
2018-06-21,175.699825
2018-06-22,175.210662
2018-06-25,171.331012
2018-06-26,172.060934
2018-06-27,169.661776
2018-06-28,171.178976
2018-06-29,171.40006
2018-07-02,172.805791
2018-07-03,170.777067
2018-07-04,170.777067
2018-07-05,172.914895
2018-07-06,175.499277
2018-07-09,177.171977
2018-07-10,177.331602
2018-07-11,176.390562
2018-07-12,179.365919
2018-07-13,179.595849
2018-07-16,179.158717
2018-07-17,180.27731
2018-07-18,179.941247
2018-07-19,179.020889
2018-07-20,178.966077
2018-07-23,179.487692
2018-07-24,180.328223
2018-07-25,182.818417
2018-07-26,180.192349
2018-07-27,177.658545
2018-07-30,175.146587
2018-07-31,176.097681
2018-08-01,177.092445
2018-08-02,179.508309
2018-08-03,180.07358
2018-08-06,181.16359
2018-08-07,181.740435
2018-08-08,181.917693
2018-08-09,181.854864
2018-08-10,180.499674
2018-08-13,180.327088
2018-08-14,181.448299
2018-08-15,179.265253
2018-08-16,179.776715
2018-08-17,179.863045
2018-08-20,179.714734
2018-08-21,180.344463
2018-08-22,181.020211
2018-08-23,180.758333
2018-08-24,182.497449
2018-08-27,184.291212
2018-08-28,184.560721
2018-08-29,186.753589
2018-08-30,186.339428
2018-08-31,186.624646
2018-09-03,186.624646
2018-09-04,185.858427
2018-09-05,183.445932
2018-09-06,181.766681
2018-09-07,181.206077
2018-09-10,181.62901
2018-09-11,183.104189
2018-09-12,182.622817
2018-09-13,184.436018
2018-09-14,184.038841
2018-09-17,181.341475
2018-09-18,182.811997
2018-09-19,182.711766
2018-09-20,184.626809
2018-09-21,183.699683
2018-09-24,183.799332
2018-09-25,184.149898
2018-09-26,184.146272
2018-09-27,185.775238
2018-09-28,185.725396
2018-10-01,186.157735
