date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2014-05-19,6.871391,611219707.0,0.0,4199929683.03,0.0,0.0,0.27132834217031226,0.0,-480448.4300000037
2014-05-20,6.828415,611219707.0,0.0,4173662233.75,0.0,0.0,0.27132834217031226,0.0,-480448.4300000037
2014-05-21,6.77675,613619707.0,2400000.0,4158347356.22,16264200.0,0.003911217271369173,2.42070851545771,3252840.0000000177,332761.5699999963
2014-05-22,6.776294,612219707.0,-1400000.0,4148580999.59,-9486811.6,-0.0022867606058403034,-1.0100099075592799,1355477.6800000179,-141579.01000000368
2014-05-23,6.771367,612219707.0,0.0,4145564781.17,0.0,0.0,0.25601569423712284,1355477.6800000179,-141579.01000000368
2014-05-26,6.771367,612219707.0,0.0,4145564781.17,0.0,0.0,0.25601569423712284,1355477.6800000179,-141579.01000000368
2014-05-27,6.800154,611219707.0,-1000000.0,4156388559.25,-6800154.0,-0.0016360727355161074,-0.6412777142987812,-4553.119999982044,-481586.7100000037
2014-05-28,6.807425,609219707.0,-2000000.0,4147217929.93,-13614850.0,-0.0032828875236440257,-1.5218414752547704,-5980363.119999982,-1162329.2100000037
2014-05-29,6.827333,609219707.0,0.0,4159346286.08,0.0,0.0,0.2756375228556661,-4083000.799999982,-1162329.2100000037
2014-05-30,6.800499,609219707.0,0.0,4142998609.26,0.0,0.0,0.2756375228556661,-4083000.799999982,-1162329.2100000037
2014-06-02,6.819824,609219707.0,0.0,4154771719.54,0.0,0.0,0.2756375228556661,-4083000.799999982,-1162329.2100000037
2014-06-03,6.791995,609219707.0,0.0,4137817539.49,0.0,0.0,0.2756375228556661,-2722969.9999999823,-1162329.2100000037
2014-06-04,6.779816,609219707.0,0.0,4130398100.56,0.0,0.0,0.2756375228556661,0.0,-1162329.2100000037
2014-06-05,6.774619,610219707.0,1000000.0,4134006588.75,6774619.0,0.0016387537984182173,1.159146502186496,1354923.800000018,-823598.2600000037
2014-06-06,6.818984,610219707.0,0.0,4161079024.06,0.0,0.0,0.2667151902539245,1354923.800000018,-823598.2600000037
