catalog_key,assigned_entity_id,valid_from,valid_to,source,reason
radar_20260921_0171,radar_entity_0171,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0172,radar_entity_0172,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0173,radar_entity_0173,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0174,radar_entity_0174,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0175,radar_entity_0175,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0176,radar_entity_0176,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0177,radar_entity_0177,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0178,radar_entity_0178,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0179,radar_entity_0179,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0180,radar_entity_0180,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0181,radar_entity_0181,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0182,radar_entity_0182,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0183,radar_entity_0183,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0184,radar_entity_0184,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0185,radar_entity_0185,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0186,radar_entity_0186,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0187,radar_entity_0187,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0188,radar_entity_0188,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0189,radar_entity_0189,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0190,radar_entity_0190,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0191,radar_entity_0191,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0192,radar_entity_0192,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0193,radar_entity_0193,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0194,radar_entity_0194,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0195,radar_entity_0195,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0196,radar_entity_0196,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0197,radar_entity_0197,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0198,radar_entity_0198,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0199,radar_entity_0199,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0200,radar_entity_0200,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0201,radar_entity_0201,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0202,radar_entity_0202,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0203,radar_entity_0203,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0204,radar_entity_0204,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0205,radar_entity_0205,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0206,radar_entity_0206,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0207,radar_entity_0207,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0208,radar_entity_0208,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0209,radar_entity_0209,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0210,radar_entity_0210,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0211,radar_entity_0211,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0212,radar_entity_0212,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0213,radar_entity_0213,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0214,radar_entity_0214,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0215,radar_entity_0215,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0216,radar_entity_0216,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0217,radar_entity_0217,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0218,radar_entity_0218,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0219,radar_entity_0219,20260921,,radar_target_catalog,initial migration from snapshot
